"year","month","day","line","ridership"
2019,1,15,"Blue",25.205374598392105
2019,1,16,"Blue",22.692821211344725
2019,1,17,"Blue",22.389101874171654
2019,1,18,"Blue",21.016645997757625
2019,1,19,"Blue",9.869618104725248
2019,1,20,"Blue",6.550667157177344
2019,1,21,"Blue",3.307648252204446
2019,1,22,"Blue",1.939073984402373
2019,1,23,"Blue",1.8381042995469832
2019,1,24,"Blue",1.029013826033933
2019,1,25,"Blue",1.099208686372728
2019,1,26,"Blue",1.535540575411721
2019,1,27,"Blue",1.6152004803106426
2019,1,28,"Blue",1.694806261923305
2019,1,29,"Blue",2.0159735073536575
2019,1,30,"Blue",-1.958579537894419
2019,1,31,"Blue",-2.968334260331013
2019,2,1,"Blue",-4.401735895846249
2019,2,2,"Blue",-4.007980737695481
2019,2,3,"Blue",-3.788294554182523
2019,2,4,"Blue",-3.568174944893231
2019,2,5,"Blue",4.954863016135466
2019,2,6,"Blue",5.532771173112059
2019,2,7,"Blue",5.915012784609765
2019,2,8,"Blue",5.296515193859809
2019,2,9,"Blue",5.1660599607859305
2019,2,10,"Blue",5.079601073216746
2019,2,11,"Blue",4.993179876388383
2019,2,12,"Blue",4.498989380534289
2019,2,13,"Blue",4.021925547297979
2019,2,14,"Blue",3.4947675743367537
2019,2,15,"Blue",4.35434493951018
2019,2,16,"Blue",2.964755840205518
2019,2,17,"Blue",2.7628378089130243
2019,2,18,"Blue",2.556654493017132
2019,2,19,"Blue",3.341742024891501
2019,2,20,"Blue",-0.4683187282243103
2019,2,21,"Blue",-1.2074412601214195
2019,2,22,"Blue",-1.9541181007724364
2019,2,23,"Blue",-1.4397709984335623
2019,2,24,"Blue",-1.2212916983701094
2019,2,25,"Blue",-1.0028810150181902
2019,2,26,"Blue",-1.29090492829557
2019,2,27,"Blue",-1.3474954809602773
2019,2,28,"Blue",-2.0956787542622477
2019,3,1,"Blue",-2.3343054968052184
2019,3,2,"Blue",-0.16099974390758703
2019,3,3,"Blue",-1.112108058917059
2019,3,4,"Blue",-2.0645119206809954
2019,3,5,"Blue",2.8313514385215846
2019,3,6,"Blue",-1.6961497862019372
2019,3,7,"Blue",-1.3499517674067316
2019,3,8,"Blue",0.6283158982554677
2019,3,9,"Blue",-0.3085977980201648
2019,3,10,"Blue",-0.7230760433807506
2019,3,11,"Blue",-1.1364912616886773
2019,3,12,"Blue",-1.740290948357807
2019,3,13,"Blue",5.785365652738019
2019,3,14,"Blue",7.224852468374088
2019,3,15,"Blue",6.1453792113311065
2019,3,16,"Blue",5.488688567703524
2019,3,17,"Blue",3.7393951177928146
2019,3,18,"Blue",2.027233331735937
2019,3,19,"Blue",2.986764105179944
2019,3,20,"Blue",1.2568547906218985
2019,3,21,"Blue",2.318224990522467
2019,3,22,"Blue",1.875080295037104
2019,3,23,"Blue",-1.4249783824975224
2019,3,24,"Blue",-1.4822662367572548
2019,3,25,"Blue",-1.5395467029170982
2019,3,26,"Blue",-1.217649102307
2019,3,27,"Blue",-1.3300403495386939
2019,3,28,"Blue",-8.802092288757567
2019,3,29,"Blue",-10.529327762954143
2019,3,30,"Blue",-9.972754595180225
2019,3,31,"Blue",-9.649210230636621
2019,4,1,"Blue",-9.325060699824892
2019,4,2,"Blue",-8.332620122529615
2019,4,3,"Blue",-8.75749191545369
2019,4,4,"Blue",-8.690269912377088
2019,4,5,"Blue",-9.548865141501912
2019,4,6,"Blue",-10.852588834681688
